id_articulo,descripcion,codigo,colorBase,colorDerivado,umd,tipo,grupo
3870,BERALKID ESMALTE ALQUIDALICO BLANCO OSTRA 19LT,BER401C,BLANCO,OSTRA,CUB 19LT,ESMALTES,BERALKID
3871,BERALKID ESMALTE ALQUIDALICO BLANCO OSTRA 4LT,BER401G,BLANCO,OSTRA,BOTE 4LT,ESMALTES,BERALKID
3872,BERALKID ESMALTE ALQUIDALICO BLANCO OSTRA 1LT,BER401L,BLANCO,OSTRA,BOTE 1LT,ESMALTES,BERALKID
3873,BERALKID ESMALTE ALQUIDALICO BLANCO OSTRA 0.5LT,BER401M,BLANCO,OSTRA,BOTE 0.5LT,ESMALTES,BERALKID
3874,BERALKID ESMALTE ALQUIDALICO BLANCO OSTRA 0.25LT,BER401Q,BLANCO,OSTRA,BOTE 0.25LT,ESMALTES,BERALKID
3875,BERALKID ESMALTE ALQUIDALICO CREMA 19LT,BER403C,OTRO,CREMA,CUB 19LT,ESMALTES,BERALKID
3876,BERALKID ESMALTE ALQUIDALICO CREMA 4LT,BER403G,OTRO,CREMA,BOTE 4LT,ESMALTES,BERALKID
3877,BERALKID ESMALTE ALQUIDALICO CREMA 1LT,BER403L,OTRO,CREMA,BOTE 1LT,ESMALTES,BERALKID
3878,BERALKID ESMALTE ALQUIDALICO CREMA 0.5LT,BER403M,OTRO,CREMA,BOTE 0.5LT,ESMALTES,BERALKID
3879,BERALKID ESMALTE ALQUIDALICO CREMA 0.25LT,BER403Q,OTRO,CREMA,BOTE 0.25LT,ESMALTES,BERALKID
3880,BERALKID ESMALTE ALQUIDALICO AZUL ORGANICO 4LT,BER404G,AZUL,ORGANICO,BOTE 4LT,ESMALTES,BERALKID
3881,BERALKID ESMALTE ALQUIDALICO AZUL ORGANICO 1LT,BER404L,AZUL,ORGANICO,BOTE 1LT,ESMALTES,BERALKID
3882,BERALKID ESMALTE ALQUIDALICO AZUL ORGANICO 0.5LT,BER404M,AZUL,ORGANICO,BOTE 0.5LT,ESMALTES,BERALKID
3883,BERALKID ESMALTE ALQUIDALICO AZUL ORGANICO 0.25LT,BER404Q,AZUL,ORGANICO,BOTE 0.25LT,ESMALTES,BERALKID
3884,BERALKID ESMALTE ALQUIDALICO ROJO LADRILLO 19LT,BER405C,ROJO,LADRILLO,CUB 19LT,ESMALTES,BERALKID
3885,BERALKID ESMALTE ALQUIDALICO ROJO LADRILLO 4LT,BER405G,ROJO,LADRILLO,BOTE 4LT,ESMALTES,BERALKID
3886,BERALKID ESMALTE ALQUIDALICO ROJO LADRILLO 1LT,BER405L,ROJO,LADRILLO,BOTE 1LT,ESMALTES,BERALKID
