id_compra,folio,formaPago
114,83048794,30 Dias
115,83048795,30 Dias
116,83048797,30 Dias
117,83047830,30 Dias
119,66084,Contado 
120,83049443,30 Dias
121,83049447,30 Dias
122,27669,Contado 
123,360864,Contado 
124,115,Contado 
125,83050431,30 Dias
126,27732,Contado 
127,83050776,Contado 
128,83051254,Contado 
129,83051256,Contado 
130,83051440,Contado 
131,83051911,30 Dias
132,83051926,30 Dias
133,83051928,30 Dias
134,27807,Contado 
135,83052224,30 Dias
136,83052826,30 Dias
137,83052827,30 Dias
138,83053116,30 Dias
139,83053117,30 Dias
140,83053343,30 Dias
141,83053347,30 Dias
142,83053348,30 Dias
143,63004,Contado 
144,83053374,30 Dias
145,83053530,30 Dias
146,83053532,30 Dias
147,83053535,30 Dias
148,27902,Contado 
149,83053802,30 Dias
150,144,Contado 
151,83054167,30 Dias
152,83054170,30 Dias
153,83054445,30 Dias
154,83054773,30 Dias
155,83054776,30 Dias
156,42217,Contado 
157,83055353,30 Dias
158,67168,Contado 
159,27982,Contado 
161,27982,Contado 
162,83056053,30 Dias
163,83056055,30 Dias
164,83056202,30 Dias
165,83056231,30 Dias
166,83056431,30 Dias
167,83056725,30 Dias
168,83056794,30 Dias
169,5,Contado 
170,83057825,30 Dias
171,83057896,30 Dias
172,3404,Contado 
173,83058167,30 Dias
174,83059182,30 Dias
175,83059183,30 Dias
176,15160,Contado 
177,83059735,30 Dias
178,83000286,30 Dias
179,83060070,30 Dias
180,83060584,30 Dias
181,28216,Contado 
182,28216,Contado 
183,83059775,30 Dias
184,83061002,30 Dias
185,83061042,30 Dias
186,83060923,30 Dias
187,83061587,30 Dias
188,34815,Contado 
190,83061952,30 Dias
191,83061957,30 Dias
192,83062363,30 Dias
193,83062508,30 Dias
194,83062464,30 Dias
195,83062463,30 Dias
196,489,Contado 
197,83062785,30 Dias
198,83062783,30 Dias
199,83063169,30 Dias
200,83063183,30 Dias
201,83063220,30 Dias
202,83063330,30 Dias
203,83063464,30 Dias
204,28352,Contado 
205,83063697,30 Dias
206,83063679,30 Dias
207,83063678,30 Dias
208,83063949,30 Dias
209,83064007,30 Dias
210,83064009,30 Dias
211,83063232,30 Dias
212,83064391,30 Dias
213,83064407,30 Dias
214,93000158,30 Dias
215,93000162,Contado 
216,63985,Contado 
217,74,Contado 
218,93001031,Contado 
219,93001032,Contado 
220,28483,Contado 
221,93001352,Contado 
222,93001725,Contado 
223,4,Contado 
224,42742,Contado 
225,93002124,Contado 
226,93002126,Contado 
227,93002144,Contado 
228,130348,Contado 
229,130349,Contado 
230,93002366,Contado 
231,93002367,Contado 
233,93002726,Contado 
234,93002727,Contado 
235,93002740,Contado 
236,93003221,Contado 
237,93003223,Contado 
238,93003702,Contado 
239,28635,Contado 
240,35327,Contado 
241,93004400,Contado 
242,93004406,Contado 
243,93004740,30 Dias
244,93004745,30 Dias
245,93005120,30 Dias
246,93005354,30 Dias
247,93005745,30 Dias
248,93005942,30 Dias
249,93006102,30 Dias
250,93006404,30 Dias
251,93006492,30 Dias
252,93007248,30 Dias
253,93006962,30 Dias
254,93007680,30 Dias
255,93007927,30 Dias
256,93009066,30 Dias
257,93008315,30 Dias
258,93008318,30 Dias
259,93008504,30 Dias
260,93008877,30 Dias
261,93008882,30 Dias
262,93009224,Contado 
263,93009226,Contado 
264,28932,Contado 
265,93010299,30 Dias
266,93010302,30 Dias
267,93010630,30 Dias
268,93010642,30 Dias
269,131303,Contado 
270,93010946,30 Dias
271,93010954,30 Dias
272,1,Contado 
273,93011213,30 Dias
274,93011214,30 Dias
275,93011215,30 Dias
276,93011668,30 Dias
277,93011671,30 Dias
278,93012174,30 Dias
279,205,Contado 
280,93012284,30 Dias
281,93012285,30 Dias
282,93012300,30 Dias
283,93012383,30 Dias
284,93012493,30 Dias
285,29057,Contado 
286,29069,Contado 
287,205,Contado 
288,93012717,30 Dias
289,93012912,30 Dias
290,93012911,30 Dias
291,93012989,30 Dias
292,93013116,30 Dias
293,93013119,30 Dias
294,81,Contado 
295,93013910,30 Dias
296,93013911,30 Dias
297,93014301,30 Dias
298,93014494,30 Dias
299,16606,Contado 
300,43324,Contado 
301,92,Contado 
302,36371,Contado 
303,29194,Contado 
304,93015312,30 Dias
305,93015315,30 Dias
306,93015638,30 Dias
