cantidad_compra,total,cantidad_articulos,subtotal,descuento,iva,id_tiempo,id_articulo,id_proveedor,id_comprador,id_compra,rango_compra,precio,rango_precio
0.142857143,453.38,2,394.24,0,59.14,20170426,3945,88,9,140,BAJO,226.69,GAMA ALTA
0.142857143,216.71,2,188.44,0,28.27,20170426,4512,88,9,140,BAJO,108.355,ECONOMICO
0.142857143,369.01,2,320.88,0,48.13,20170426,4262,88,9,140,BAJO,184.505,GAMA ALTA
0.285714286,445.65,4,387.52,0,58.13,20100528,4237,88,9,141,BAJO,111.4125,ECONOMICO
0.714285714,355.81,10,309.4,0,46.41,20100528,4238,88,9,141,BAJO,35.581,ECONOMICO
0.5,1369.31,1,1190.7,0,178.61,20141121,4073,88,9,142,ALTO,1369.31,GAMA ALTA
0.5,0,1,0,0,0,20141121,4676,88,9,142,BAJO,0,ECONOMICO
1,805,50,700,0,105,20180704,4677,97,9,143,ALTO,16.1,ECONOMICO
0.5,2402.93,5,2089.5,0,313.43,20180320,4511,88,9,144,ALTO,480.586,GAMA ALTA
0.5,0,5,0,0,0,20180320,4676,88,9,144,BAJO,0,ECONOMICO
1,13282.5,30,11550,0,1732.5,20150218,4524,88,13,145,ALTO,442.75,GAMA ALTA
0.131578947,5852.35,10,5089,0,763.35,20110318,4310,88,9,146,ALTO,585.235,GAMA ALTA
0.197368421,8380.05,15,7287,0,1093.05,20110318,4361,88,9,146,ALTO,558.67,GAMA ALTA
0.026315789,1075.48,2,935.2,0,140.28,20110318,4364,88,9,146,ALTO,537.74,GAMA ALTA
0.026315789,286.26,2,248.92,0,37.34,20110318,4314,88,9,146,BAJO,143.13,ECONOMICO
0.131578947,639.17,10,555.8,0,83.37,20110318,3936,88,9,146,BAJO,63.917,ECONOMICO
0.131578947,639.17,10,555.8,0,83.37,20110318,3931,88,9,146,BAJO,63.917,ECONOMICO
0.355263158,0,27,0,0,0,20110318,4676,88,9,146,BAJO,0,ECONOMICO
0.5,6882.75,15,5985,0,897.75,20180123,4194,88,9,147,ALTO,458.85,GAMA ALTA
0.5,0,15,0,0,0,20180123,4676,88,9,147,BAJO,0,ECONOMICO
0.470588235,474.94,24,412.99,12.77,61.95,20141027,4555,91,9,148,BAJO,19.78916667,ECONOMICO
0.235294118,168.8,12,146.78,4.54,22.02,20141027,4638,91,9,148,BAJO,14.06666667,ECONOMICO
0.294117647,240.1,15,208.78,6.46,31.32,20141027,4576,91,9,148,BAJO,16.00666667,ECONOMICO
0.5,2342.55,3,2037,0,305.55,20190821,4438,88,9,149,ALTO,780.85,GAMA ALTA
0.5,0,3,0,0,0,20190821,4676,88,9,149,BAJO,0,ECONOMICO
1,576.66,32,501.44,0,75.22,20140929,4563,95,9,150,BAJO,18.020625,ECONOMICO
0.125,597.31,2,519.4,0,77.91,20180123,3920,88,9,151,BAJO,298.655,GAMA ALTA
0.125,453.38,2,394.24,0,59.14,20180123,3935,88,9,151,BAJO,226.69,GAMA ALTA
0.125,538.38,2,468.16,0,70.22,20180123,4078,88,9,151,BAJO,269.19,GAMA ALTA
0.125,803.39,2,698.6,0,104.79,20180123,4182,88,9,151,ALTO,401.695,GAMA ALTA
0.125,269.19,2,234.08,0,35.11,20180123,4362,88,9,151,BAJO,134.595,ECONOMICO
0.375,776.66,6,675.36,0,101.3,20180123,4365,88,9,151,ALTO,129.4433333,ECONOMICO
0.441176471,6605.03,15,5743.5,0,861.53,20100411,4236,88,9,152,ALTO,440.3353333,GAMA ALTA
0.117647059,445.64,4,387.51,0,58.13,20100411,4237,88,9,152,BAJO,111.41,ECONOMICO
0.441176471,0,15,0,0,0,20100411,4676,88,9,152,BAJO,0,ECONOMICO
0.197368421,7208.78,15,6268.5,0,940.28,20190124,4511,88,9,153,ALTO,480.5853333,GAMA ALTA
0.131578947,5852.35,10,5089,0,763.35,20190124,4310,88,9,153,ALTO,585.235,GAMA ALTA
0.052631579,2150.96,4,1870.4,0,280.56,20190124,4364,88,9,153,ALTO,537.74,GAMA ALTA
0.026315789,245.69,2,213.64,0,32.05,20190124,4506,88,9,153,BAJO,122.845,ECONOMICO
0.052631579,1132.52,4,984.8,0,147.72,20190124,4647,88,9,153,ALTO,283.13,GAMA ALTA
0.052631579,466.44,4,405.6,0,60.84,20190124,4649,88,9,153,BAJO,116.61,ECONOMICO
