id_tiempo,anio,trimestre,semestre,mes,dia,nombreMes,nombreDia
20090101,2009,1,1,1,1,January,Thursday
20090102,2009,1,1,1,2,January,Friday
20090103,2009,1,1,1,3,January,Saturday
20090104,2009,1,1,1,4,January,Sunday
20090106,2009,1,1,1,6,January,Tuesday
20090107,2009,1,1,1,7,January,Wednesday
20090108,2009,1,1,1,8,January,Thursday
20090109,2009,1,1,1,9,January,Friday
20090110,2009,1,1,1,10,January,Saturday
20090111,2009,1,1,1,11,January,Sunday
20090112,2009,1,1,1,12,January,Monday
20090113,2009,1,1,1,13,January,Tuesday
20090114,2009,1,1,1,14,January,Wednesday
20090115,2009,1,1,1,15,January,Thursday
20090116,2009,1,1,1,16,January,Friday
20090117,2009,1,1,1,17,January,Saturday
20090118,2009,1,1,1,18,January,Sunday
20090120,2009,1,1,1,20,January,Tuesday
20090121,2009,1,1,1,21,January,Wednesday
20090122,2009,1,1,1,22,January,Thursday
20090123,2009,1,1,1,23,January,Friday
20090124,2009,1,1,1,24,January,Saturday
20090125,2009,1,1,1,25,January,Sunday
20090126,2009,1,1,1,26,January,Monday
20090127,2009,1,1,1,27,January,Tuesday
20090128,2009,1,1,1,28,January,Wednesday
20090129,2009,1,1,1,29,January,Thursday
20090130,2009,1,1,1,30,January,Friday
20090202,2009,1,1,2,2,February,Monday
20090203,2009,1,1,2,3,February,Tuesday
20090204,2009,1,1,2,4,February,Wednesday
20090205,2009,1,1,2,5,February,Thursday
20090208,2009,1,1,2,8,February,Sunday
20090209,2009,1,1,2,9,February,Monday
20090210,2009,1,1,2,10,February,Tuesday
20090211,2009,1,1,2,11,February,Wednesday
20090212,2009,1,1,2,12,February,Thursday
20090213,2009,1,1,2,13,February,Friday
20090214,2009,1,1,2,14,February,Saturday
20090215,2009,1,1,2,15,February,Sunday
20090217,2009,1,1,2,17,February,Tuesday
20090218,2009,1,1,2,18,February,Wednesday
20090221,2009,1,1,2,21,February,Saturday
20090222,2009,1,1,2,22,February,Sunday
20090225,2009,1,1,2,25,February,Wednesday
20090226,2009,1,1,2,26,February,Thursday
20090227,2009,1,1,2,27,February,Friday
20090228,2009,1,1,2,28,February,Saturday
20090301,2009,1,1,3,1,March,Sunday
20090303,2009,1,1,3,3,March,Tuesday
20090304,2009,1,1,3,4,March,Wednesday
20090305,2009,1,1,3,5,March,Thursday
20090307,2009,1,1,3,7,March,Saturday
20090308,2009,1,1,3,8,March,Sunday
20090309,2009,1,1,3,9,March,Monday
20090310,2009,1,1,3,10,March,Tuesday
20090311,2009,1,1,3,11,March,Wednesday
20090312,2009,1,1,3,12,March,Thursday
20090313,2009,1,1,3,13,March,Friday
20090316,2009,1,1,3,16,March,Monday
20090318,2009,1,1,3,18,March,Wednesday
20090319,2009,1,1,3,19,March,Thursday
20090321,2009,1,1,3,21,March,Saturday
20090322,2009,1,1,3,22,March,Sunday
20090325,2009,1,1,3,25,March,Wednesday
20090326,2009,1,1,3,26,March,Thursday
20090327,2009,1,1,3,27,March,Friday
20090328,2009,1,1,3,28,March,Saturday
20090329,2009,1,1,3,29,March,Sunday
20090330,2009,1,1,3,30,March,Monday
20090401,2009,2,1,4,1,April,Wednesday
20090402,2009,2,1,4,2,April,Thursday
20090403,2009,2,1,4,3,April,Friday
20090404,2009,2,1,4,4,April,Saturday
20090405,2009,2,1,4,5,April,Sunday
20090406,2009,2,1,4,6,April,Monday
20090407,2009,2,1,4,7,April,Tuesday
20090408,2009,2,1,4,8,April,Wednesday
20090409,2009,2,1,4,9,April,Thursday
20090410,2009,2,1,4,10,April,Friday
20090411,2009,2,1,4,11,April,Saturday
20090412,2009,2,1,4,12,April,Sunday
20090413,2009,2,1,4,13,April,Monday
20090414,2009,2,1,4,14,April,Tuesday
20090416,2009,2,1,4,16,April,Thursday
20090417,2009,2,1,4,17,April,Friday
20090418,2009,2,1,4,18,April,Saturday
20090419,2009,2,1,4,19,April,Sunday
20090420,2009,2,1,4,20,April,Monday
20090421,2009,2,1,4,21,April,Tuesday
20090422,2009,2,1,4,22,April,Wednesday
20090424,2009,2,1,4,24,April,Friday
20090425,2009,2,1,4,25,April,Saturday
20090426,2009,2,1,4,26,April,Sunday
20090427,2009,2,1,4,27,April,Monday
20090428,2009,2,1,4,28,April,Tuesday
20090429,2009,2,1,4,29,April,Wednesday
20090502,2009,2,1,5,2,May,Saturday
20090503,2009,2,1,5,3,May,Sunday
20090504,2009,2,1,5,4,May,Monday
20090505,2009,2,1,5,5,May,Tuesday
20090506,2009,2,1,5,6,May,Wednesday
20090507,2009,2,1,5,7,May,Thursday
20090508,2009,2,1,5,8,May,Friday
20090509,2009,2,1,5,9,May,Saturday
20090511,2009,2,1,5,11,May,Monday
20090513,2009,2,1,5,13,May,Wednesday
20090514,2009,2,1,5,14,May,Thursday
20090515,2009,2,1,5,15,May,Friday
20090517,2009,2,1,5,17,May,Sunday
20090518,2009,2,1,5,18,May,Monday
20090519,2009,2,1,5,19,May,Tuesday
20090520,2009,2,1,5,20,May,Wednesday
