id_factura,folio,condicionPago
762,3638,CONTADO 100%
763,3639,CONTADO 100%
764,3640,CONTADO 100%
765,3641,15 DIAS
766,3642,CONTADO 100%
768,3643,15 DIAS
769,3644,15 DIAS
770,3645,15 DIAS
771,3646,CONTADO 100%
772,3647,CONTADO 100%
774,3648,CONTADO 100%
775,3649,15 DIAS
776,3650,CONTADO 100%
777,3651,CONTADO 100%
778,3652,CONTADO 100%
779,3653,TARJETA BANCARIA 100%
780,3654,CONTADO 100%
781,3655,CONTADO 100%
782,3656,CONTADO 100%
783,3657,CONTADO 100%
784,3658,30 DIAS
785,3659,CONTADO 100%
786,3660,CONTADO 100%
787,3661,CONTADO 100%
788,3662,CONTADO 100%
789,3663,15 DIAS
790,3664,CONTADO 100%
791,3665,CONTADO 100%
792,3666,CONTADO 100%
793,3667,CONTADO 100%
795,3668,CONTADO 100%
796,3669,15 DIAS
797,3670,CONTADO 100%
798,3671,CONTADO 100%
799,3672,CONTADO 100%
800,3673,TARJETA BANCARIA 100%
802,3674,CONTADO 100%
803,3675,15 DIAS
804,3676,TARJETA BANCARIA 100%
805,3677,TARJETA BANCARIA 100%
806,3678,15 DIAS
807,3679,15 DIAS
808,3680,15 DIAS
809,3681,CONTADO 100%
810,3682,CONTADO 100%
811,3683,15 DIAS
812,3684,CONTADO 100%
813,3685,CONTADO 100%
814,3686,CONTADO 100%
815,3687,CONTADO 100%
816,3688,CONTADO 100%
817,3689,CONTADO 100%
818,3690,CONTADO 100%
819,3691,CONTADO 100%
820,3692,15 DIAS
821,3693,15 DIAS
822,3694,15 DIAS
823,3695,CONTADO 100%
824,3696,15 DIAS
825,3697,CONTADO 100%
826,3698,CONTADO 100%
827,3699,15 DIAS
828,3700,CONTADO 100%
829,3701,CONTADO 100%
830,3702,CONTADO 100%
831,3703,CONTADO 100%
832,3704,15 DIAS
833,3705,15 DIAS
834,3706,15 DIAS
835,3707,15 DIAS
836,3708,CONTADO 100%
838,3709,15 DIAS
839,3710,CONTADO 100%
840,3711,CONTADO 100%
841,3712,15 DIAS
842,3713,15 DIAS
843,3714,CONTADO 100%
844,3715,15 DIAS
845,3716,CONTADO 100%
846,3717,CONTADO 100%
848,3718,CONTADO 100%
849,3719,30 DIAS
850,3720,15 DIAS
851,3721,CONTADO 100%
852,3722,15 DIAS
853,3723,CONTADO 100%
854,3724,CONTADO 100%
855,3725,15 DIAS
856,3726,15 DIAS
857,3727,CONTADO 100%
858,3728,15 DIAS
859,3729,15 DIAS
860,3730,CONTADO 100%
861,3731,15 DIAS
862,3732,15 DIAS
863,3733,CONTADO 100%
864,3734,CONTADO 100%
865,3735,CONTADO 100%
866,3736,15 DIAS
867,3737,CONTADO 100%
868,3738,30 DIAS
869,3739,TARJETA BANCARIA 100%
870,3740,CONTADO 100%
871,3741,CONTADO 100%
872,3742,CONTADO 100%
873,3743,15 DIAS
874,3744,15 DIAS
875,3745,CONTADO 100%
876,3746,CONTADO 100%
877,3747,CONTADO (M)
878,3748,CONTADO 100%
879,3749,CONTADO 100%
880,3750,CONTADO 100%
881,3751,15 DIAS
882,3752,CONTADO (M)
883,3753,CONTADO 100%
884,3754,CONTADO 100%
885,3755,CONTADO 100%
886,3756,CONTADO 100%
887,3757,CONTADO 100%
888,3758,CONTADO 100%
889,3759,CONTADO 100%
890,3760,15 DIAS
891,3761,15 DIAS
892,3762,CONTADO 100%
893,3763,CONTADO 100%
894,3764,CONTADO 100%
895,3765,CONTADO 100%
896,3766,15 DIAS
897,3767,15 DIAS
898,3768,30 DIAS
899,3769,CONTADO 100%
900,3770,30 DIAS
901,3771,CONTADO 100%
902,3772,30 DIAS
903,3773,15 DIAS
904,3774,30 DIAS
905,3775,15 DIAS
906,3776,CONTADO 100%
907,3777,30 DIAS
908,3778,15 DIAS
909,3779,CONTADO 100%
910,3780,CONTADO 100%
911,3781,CONTADO 100%
912,3782,CHEQUE (M)
913,3783,15 DIAS
914,3784,15 DIAS
915,3785,CONTADO 100%
916,3786,CONTADO 100%
917,3787,CONTADO 100%
918,3788,CONTADO 100%
919,3789,CONTADO 100%
920,3790,CONTADO 100%
921,3791,30 DIAS
922,3792,CONTADO 100%
923,3793,15 DIAS
924,3794,15 DIAS
925,3795,CONTADO 100%
926,3796,CONTADO 100%
927,3797,CONTADO 100%
928,3798,CONTADO 100%
929,3799,15 DIAS
930,3800,15 DIAS
931,3801,15 DIAS
932,3802,CONTADO 100%
933,3803,CONTADO 100%
934,3804,CONTADO 100%
935,3805,CONTADO 100%
936,3806,CONTADO 100%
937,3807,CONTADO 100%
938,3808,30 DIAS
939,3809,CHEQUE
940,3810,30 DIAS
941,3811,CONTADO 100%
942,3812,15 DIAS
943,3813,15 DIAS
944,3814,15 DIAS
945,3815,15 DIAS
946,3816,CHEQUE
947,3817,15 DIAS
948,3818,15 DIAS
949,3819,30 DIAS
950,3820,30 DIAS
951,3821,15 DIAS
952,3822,15 DIAS
953,3823,15 DIAS
954,3824,CONTADO 100%
955,3825,CONTADO 100%
956,3826,CONTADO 100%
957,3827,15 DIAS
958,3828,15 DIAS
959,3829,TARJETA BANCARIA 100%
960,3830,CONTADO 100%
