num_fact,num_articulos,total,subtotal,descuento,iva,id_tiempo,id_articulo,id_vendedor,id_factura,id_cliente
0.666666667,2,130.01,112.08,0,17.93,20090122,4363,24,5768,4029
0.333333333,1,218.01,187.94,0,30.07,20090122,4362,24,5768,4029
0.333333333,1,320.45,276.25,48.75,44.2,20090123,3981,21,6830,4655
0.5,1,428.41,369.32,65.17,59.09,20090123,4154,20,6244,4214
0.333333333,1,23,19.83,0,3.17,20090123,4677,21,6830,4655
0.5,1,63.75,54.96,9.7,8.79,20090123,4147,20,6244,4214
0.333333333,1,9,7.76,0,1.24,20090123,4547,21,6830,4655
0.142857143,1,262.65,226.42,39.96,36.23,20090124,4133,20,6706,3990
0.5,1,18,15.65,0,2.35,20090124,4607,24,3158,4029
0.714285714,5,115.01,99.15,0,15.86,20090124,4677,20,6706,3990
0.5,1,6,5.22,0,0.78,20090124,4588,24,3158,4029
0.142857143,1,46.01,39.66,0,6.35,20090124,4579,20,6706,3990
1,15,8538.75,7425,825,1113.75,20090125,4524,20,973,4133
0.5,2,34.02,29.58,0,4.44,20090125,4565,24,2641,4029
0.25,1,30,26.09,0,3.91,20090125,4555,24,2641,4029
0.25,1,39.01,33.92,0,5.09,20090125,4551,24,2641,4029
1,1,49,42.61,0,6.39,20090126,4693,20,3858,4431
1,1,1595.58,1375.5,0,220.08,20090127,4153,20,6021,4442
1,1,58.51,50.44,5.6,8.07,20090127,4312,20,6205,3901
0.333333333,1,156.61,136.18,15.13,20.43,20090128,4237,20,1203,4163
0.666666667,2,88,76.52,0,11.48,20090128,4553,20,1203,4163
0.285714286,2,635.8,552.87,97.57,82.93,20090129,3981,20,3176,4003
0.142857143,1,206.55,179.61,31.7,26.94,20090129,4383,20,3176,4003
0.142857143,1,182.76,158.92,28.04,23.84,20090129,4368,20,3176,4003
0.142857143,1,182.76,158.92,28.04,23.84,20090129,4368,20,3176,4003
0.142857143,1,30,26.09,0,3.91,20090129,4712,20,3176,4003
0.142857143,1,49,42.61,0,6.39,20090129,4552,20,3176,4003
0.333333333,1,114,98.28,0,15.72,20090130,4079,24,6448,4029
1,1,430.1,374,66,56.1,20090130,4528,20,3941,4413
1,1,55.48,47.83,0,7.65,20090130,4244,24,5925,4029
0.5,2,60.02,51.74,0,8.28,20090130,4728,20,4919,3855
0.333333333,1,23,19.83,0,3.17,20090130,4677,24,6448,4029
0.5,2,80.02,68.98,0,11.04,20090130,4552,20,4919,3855
0.333333333,1,42,36.21,0,5.79,20090130,4615,24,6448,4029
0.4,2,14.01,12.08,0,1.93,20090202,4605,24,6572,4029
0.357142857,5,215.05,187,0,28.05,20090202,4567,20,3036,4290
0.2,1,12.01,10.35,0,1.66,20090202,4548,24,6572,4029
0.285714286,4,160.03,139.16,0,20.87,20090202,4696,20,3036,4290
0.2,1,22.01,18.97,0,3.04,20090202,4576,24,6572,4029
0.071428571,1,30,26.09,0,3.91,20090202,4555,20,3036,4290
